,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,64.94,94,100,1.39,US,1662415686
1,avarua,-21.2078,-159.775,77.05,78,100,17.27,CK,1662415687
2,tigil,57.8,158.6667,45.23,69,0,4.16,RU,1662415687
3,severo-kurilsk,50.6789,156.125,54.28,93,96,8.63,RU,1662415688
4,butaritari,3.0707,172.7902,81.52,79,76,16.02,KI,1662415688
5,bubaque,11.2833,-15.8333,81.12,77,50,9.62,GW,1662415689
6,punta arenas,-53.15,-70.9167,37.51,81,40,16.11,CL,1662415689
7,ponta do sol,32.6667,-17.1,72.23,73,99,2.44,PT,1662415690
8,castro,-24.7911,-50.0119,56.57,77,84,4.21,BR,1662415691
9,tiksi,71.6872,128.8694,42.24,64,100,17.45,RU,1662415692
10,nkhata bay,-11.6066,34.2907,70.83,51,0,5.39,MW,1662415693
11,itarema,-2.9248,-39.9167,78.55,81,35,17.58,BR,1662415693
12,ostrovnoy,68.0531,39.5131,44.28,92,100,22.37,RU,1662415693
13,hasaki,35.7333,140.8333,77.29,84,19,9.93,JP,1662415694
14,hermanus,-34.4187,19.2345,52.81,79,68,11.52,ZA,1662415695
15,busselton,-33.65,115.3333,49.51,88,100,3.24,AU,1662415447
16,luderitz,-26.6481,15.1594,56.64,60,0,22.24,NA,1662415695
17,codrington,-38.2667,141.9667,42.85,89,100,8.59,AU,1662415696
18,letterkenny,54.95,-7.7333,61.21,87,100,13.4,IE,1662415411
19,puerto ayora,-0.7393,-90.3518,78.76,90,95,8.01,EC,1662415697
20,lorengau,-2.0226,147.2712,83.12,65,99,7.94,PG,1662415697
21,colares,38.7992,-9.4469,72.34,72,4,13.0,PT,1662415698
22,kenai,60.5544,-151.2583,60.89,81,40,6.91,US,1662415698
23,brae,60.3964,-1.353,58.3,90,100,20.04,GB,1662415699
24,paamiut,61.994,-49.6678,39.25,99,100,6.98,GL,1662415699
25,guymon,36.6828,-101.4816,93.2,26,0,9.22,US,1662415700
26,mataura,-46.1927,168.8643,41.49,90,82,5.28,NZ,1662415700
27,tiznit,29.5833,-9.5,71.55,54,63,4.45,MA,1662415701
28,cayenne,4.9333,-52.3333,82.44,74,72,9.22,GF,1662415701
29,kodiak,57.79,-152.4072,57.2,69,32,6.06,US,1662415702
30,esperance,-33.8667,121.9,55.24,80,82,11.21,AU,1662415702
31,narsaq,60.9167,-46.05,50.22,90,100,4.0,GL,1662415703
32,ushuaia,-54.8,-68.3,33.46,93,75,27.63,AR,1662415703
33,moose factory,51.2585,-80.6094,75.78,34,30,7.36,CA,1662415704
34,kruisfontein,-34.0033,24.7314,55.89,60,20,21.72,ZA,1662415704
35,fortuna,40.5982,-124.1573,74.93,71,15,5.01,US,1662415513
36,saskylakh,71.9167,114.0833,42.28,65,100,15.55,RU,1662415705
37,kayanga,-1.5303,31.1511,62.47,79,37,3.11,TZ,1662415706
38,cockburn town,21.4612,-71.1419,83.8,75,19,12.33,TC,1662415501
39,faya,18.3851,42.4509,64.92,53,96,2.62,SA,1662415707
40,cedar city,37.6775,-113.0619,97.77,8,0,10.36,US,1662415707
41,port elizabeth,-33.918,25.5701,58.1,71,16,11.01,ZA,1662415708
42,cherskiy,68.75,161.3,41.85,75,100,10.11,RU,1662415708
43,khatanga,71.9667,102.5,41.85,90,100,8.25,RU,1662415708
44,cape town,-33.9258,18.4232,55.09,68,62,3.0,ZA,1662415617
45,sisimiut,66.9395,-53.6735,41.07,86,88,25.9,GL,1662415709
46,mao,39.8885,4.2658,79.36,94,40,5.75,ES,1662415710
47,katsuura,35.1333,140.3,80.6,78,20,6.17,JP,1662415710
48,jacareacanga,-6.2222,-57.7528,89.67,30,76,1.43,BR,1662415710
49,raudeberg,61.9875,5.1352,56.07,36,56,10.25,NO,1662415711
50,shingu,33.7333,135.9833,79.61,88,100,9.71,JP,1662415711
51,korla,41.7597,86.1469,72.45,19,0,2.73,CN,1662415712
52,kualakapuas,-3.0091,114.3876,70.83,98,98,2.71,ID,1662415639
53,jamestown,42.097,-79.2353,69.94,72,100,6.91,US,1662415544
54,ziro,27.6333,93.8333,57.06,99,100,1.25,IN,1662415713
55,thompson,55.7435,-97.8558,83.61,29,0,13.71,CA,1662415713
56,katobu,-4.9408,122.5276,74.25,89,100,2.71,ID,1662415714
57,ribeira grande,38.5167,-28.7,74.28,81,100,6.73,PT,1662415714
58,kahului,20.8947,-156.47,86.02,73,75,19.57,US,1662415714
59,port alfred,-33.5906,26.891,57.18,69,0,7.0,ZA,1662415715
60,murray bridge,-35.1167,139.2667,51.12,77,93,4.7,AU,1662415715
61,nantucket,41.2835,-70.0995,72.0,82,0,8.05,US,1662415682
62,bongandanga,1.5,21.05,74.12,86,97,0.96,CD,1662415716
63,ahipara,-35.1667,173.1667,54.72,63,29,14.56,NZ,1662415716
64,mitchell,43.7094,-98.0298,87.78,33,0,19.57,US,1662415487
65,boden,65.8252,21.6886,46.4,66,100,5.23,SE,1662415717
66,upernavik,72.7868,-56.1549,41.65,85,100,31.45,GL,1662415717
67,siniscola,40.5719,9.6922,74.75,82,2,6.93,IT,1662415718
68,viedma,-40.8135,-62.9967,76.28,13,15,18.3,AR,1662415718
69,rikitea,-23.1203,-134.9692,72.39,67,21,19.1,PF,1662415719
70,chibuto,-24.6867,33.5306,65.84,70,0,6.78,MZ,1662415719
71,tuktoyaktuk,69.4541,-133.0374,41.0,87,100,29.93,CA,1662415720
72,saint-joseph,-21.3667,55.6167,68.38,76,47,14.27,RE,1662415720
73,krasnokamensk,50.0979,118.0369,42.69,88,100,2.73,RU,1662415720
74,mar del plata,-38.0023,-57.5575,66.22,37,0,6.91,AR,1662415721
75,zeya,53.75,127.2667,56.16,94,91,4.41,RU,1662415721
76,lebu,-37.6167,-73.65,52.2,78,100,6.04,CL,1662415722
77,yar-sale,66.8333,70.8333,40.96,91,100,8.79,RU,1662415722
78,qaanaaq,77.484,-69.3632,42.48,93,100,1.14,GL,1662415723
